> -L"camp300" 300
-52.5363411831 -2.89212672759 500
-52.4934920767 -3.07066467099 500
-52.5720487718 -3.24920261438 500
-52.807718857 -3.38489145135 500
-53.3790402759 -3.44916511097 500
-53.5575782193 -3.46344814644 500
-53.8003898223 -3.48487269965 500
-54.0717674962 -3.54914635927 500
-54.5145415958 -3.55628787701 500
-55.0572969437 -3.49201421739 500
-55.2858255113 -3.42059904003 500
-55.5429201498 -3.27776868532 500
-55.7214580932 -3.32775930947 500
-55.8642884479 -3.3349008272 500
-55.9071375543 -3.13493833061 500
-55.7071750577 -3.04209860004 500
-55.6000522917 -2.96354190495 500
-55.4643634547 -2.82071155024 500
-55.3358161354 -2.75643789062 500
> -L"camp700" 700
-65.9334403771 -4.84517319424 700
-65.6563450311 -4.82670017118 700
-65.4777724749 -4.70970435845 700
-65.2437808494 -4.64812761491 700
-65.0097892239 -4.69738900974 700
-64.8743203881 -4.81438482247 700
-64.8065859702 -4.96832668133 700
-64.8127436446 -5.22694900421 700
-64.8681627138 -5.40552156049 700
-65.1883617802 -5.55946341934 700
-65.3361459647 -5.60872481418 700
-65.6994487516 -5.49172900145 700
-65.8718636335 -5.23926435292 700
-65.8964943309 -5.19000295808 700
-66.001174795 -5.12226854019 700
-66.0996975846 -4.98679970439 700
-66.105855259 -4.8513308686 700
-65.9703864232 -4.82054249683 700
-65.8780213079 -4.8513308686 700
