longitude,latitude,age_info
-75.55,45.467,190
-118.883,52.383,202
110,34.333,206
31.717,-19.2,209
103.167,70.967,218
59.65,21.95,220
102.117,70,220
105.533,42.983,222.2
115.217,40.367,228
113,40,229
103.467,70.717,238
105.417,70.25,239
101.433,70.95,258
0,20.5,262
109.833,32.5,264
110.333,31.833,265
102.017,70.317,265
136.883,59.933,310
60.233,55.067,312
78.683,41.65,322
-119.15,52.4,325
-119.183,52.133,328
112.45,54.117,329
79,39.5,332
-124.417,55.717,340
-123.75,56.45,344
-119.1,52.4,351
-116.5,51.5,356.5
29.45,67.8,360
32.8,67.417,364
33.783,67.717,368
32.95,67.433,372
34.45,66.583,373.1
23.283,42.933,375
32.133,68.717,385
30.117,66.8,391
-5.033,57.967,394
96.717,50.15,400
96.533,50.567,404
-74.7,41.233,430
106.717,32.45,462
87.5,50.2,474
33.383,66.867,475
60.567,55.983,478
23.167,70.367,483
18.833,-27.55,491
15.317,-21.967,500
30.483,67.567,500
22.9,70.583,501
33.5,67.3,505
-105.367,38.267,511
17.417,-28.167,514
47.8,67.7,517
22.7,70.283,523
-105.467,38.35,528
162.683,-78.25,531
68.833,53.167,531
68.417,53.25,534
