> -L"dykes_parana"
-48.147952569	-24.490059763
-48.163894958	-24.470548182
-48.185310107	-24.453416063
-48.193162328	-24.449133033
> -L"dykes_parana"
-48.202634566	-24.259535597
-48.232377829	-24.247638292
-48.287700297	-24.20659259
-48.315658964	-24.189341498
-48.344212496	-24.173280136
-48.36503278	-24.157813639
-48.387637659	-24.147106065
-48.401914425	-24.139372817
> -L"dykes_parana"
-48.404888751	-24.232052823
-48.453072837	-24.205283886
-48.481031504	-24.185058468
-48.51910288	-24.161858723
-48.561338313	-24.126761673
-48.572045887	-24.120218155
-48.588107249	-24.117838694
-48.618445377	-24.097613276
-48.640455391	-24.079767318
> -L"dykes_parana"
-49.436900647	-24.804693908
-49.494602577	-24.759484149
-49.514827995	-24.741043327
> -L"dykes_parana"
-49.54334187	-24.792241396
-49.572490267	-24.776774899
-49.594500281	-24.754764885
-49.609966778	-24.745841906
-49.624243544	-24.728590814
-49.643279232	-24.710744856
> -L"dykes_parana"
-49.659340594	-24.621483343
-49.681945473	-24.608396307
-49.693247913	-24.601852789
-49.711688736	-24.583411966
-49.724180906	-24.569730066
-49.739647403	-24.558427626
-49.749165247	-24.547125186
-49.764631743	-24.541176534
> -L"dykes_parana"
-49.673736333	-24.672118273
-49.685038773	-24.670928542
-49.698125808	-24.656056911
-49.723705014	-24.628098244
-49.757017468	-24.588242272
-49.793899114	-24.557904144
-49.818883454	-24.537678726
> -L"dykes_parana"
-49.689083856	-24.735292962
-49.708119544	-24.720421331
-49.728939828	-24.706144565
-49.754519034	-24.685324281
-49.779503374	-24.657365614
-49.797349332	-24.643683714
> -L"dykes_parana"
-48.497307017	-26.005389761
-48.515152974	-25.998965216
-48.549417213	-25.98897148
-48.574401553	-25.985402288
-48.605810439	-25.983260773
-48.625797911	-25.974694714
-48.661489826	-25.958276433
-48.675766592	-25.951851888
-48.711458507	-25.943285829
-48.767851733	-25.920443003
-48.805685163	-25.898314016
-48.827100312	-25.886178764
-48.854226168	-25.87547119
-48.869216772	-25.869046645
-48.896342628	-25.860480586
-48.913474747	-25.854056041
-48.942742117	-25.843348466
-48.954877368	-25.838351598
> -L"dykes_parana"
-49.347075994	-25.710439706
-49.372060335	-25.692593749
-49.385742236	-25.682481039
-49.413106037	-25.672963195
-49.470807967	-25.649168585
-49.518992052	-25.631322628
-49.549925045	-25.629538032
-49.56182235	-25.625373975
> -L"dykes_parana"
-48.654771815	-25.911765902
-48.689749892	-25.904627519
-48.707595849	-25.899630651
-48.729724836	-25.895347621
-48.756136854	-25.883926208
-48.788973415	-25.865366412
-48.824665331	-25.844665101
-48.867495629	-25.833243689
-48.884714995	-25.828240872
-48.902323006	-25.820150704
-48.94848455	-25.808253399
-48.973230944	-25.798259663
-49.002260368	-25.779699867
-49.020820164	-25.771133808
-49.047470128	-25.757808826
-49.07721339	-25.748647901
> -L"dykes_parana"
-48.414081402	-25.663526649
-48.429785845	-25.65496059
-48.480706311	-25.63544901
-48.526867854	-25.613082076
-48.562083877	-25.586432113
-48.614320978	-25.546518638
-48.666193228	-25.512016453
