> -L"dykes_equamp"
-36.337880478	-5.622176748
-36.325388308	-5.620392152
-36.304686997	-5.622176748
-36.282201091	-5.619678314
-36.249285214	-5.623445794
-36.214545083	-5.621066333
-36.196461179	-5.615355626
-36.17504603	-5.615831518
-36.166932068	-5.614855939
-36.151227626	-5.612357505
-36.134809345	-5.615569778
-36.114821872	-5.616997454
-36.098046672	-5.619138969
-36.075560766	-5.623421999
-36.064853191	-5.626277352
-36.046293395	-5.625563514
> -L"dykes_equamp"
-36.046293395	-5.625563514
-36.03176282	-5.629251679
-36.023732139	-5.628954246
-36.011537401	-5.629846544
-36.00112726	-5.627764515
> -L"dykes_equamp"
-36.895946374	-5.734694519
-36.879290147	-5.729935597
-36.863109812	-5.72422489
-36.850736615	-5.724700782
-36.845025908	-5.725652567
-36.83027325	-5.72422489
-36.816472376	-5.725176675
-36.799340257	-5.72422489
-36.777449216	-5.722797214
-36.747468007	-5.725652567
-36.725165517	-5.725835984
-36.714457943	-5.727025714
-36.701965773	-5.722266792
-36.692447929	-5.722266792
-36.678171163	-5.725835984
-36.661514936	-5.719887331
-36.6484279	-5.715723274
-36.63319935	-5.70656235
-36.616543123	-5.70227932
-36.611784201	-5.699899859
-36.598935111	-5.696092721
-36.578471746	-5.696092721
-36.556104813	-5.694665044
-36.537069125	-5.695140937
-36.512322731	-5.695140937
-36.482817414	-5.688002554
-36.45807102	-5.688478446
-36.441414793	-5.690382015
-36.423806781	-5.690382015
-36.400012171	-5.689906122
-36.379072914	-5.687526661
-36.368460518	-5.685623093
-36.358466782	-5.688002554
-36.327533789	-5.687050769
-36.300883826	-5.690857907
-36.267571371	-5.698948074
-36.249487468	-5.698472182
-36.216650906	-5.701803428
-36.188097374	-5.706086457
-36.169061686	-5.704658781
-36.158592057	-5.712748948
-36.134971941	-5.71291551
-36.114746523	-5.715889837
-36.099874891	-5.719459028
-36.092141643	-5.721838489
-36.074890551	-5.723623085
-36.06239838	-5.723623085
-36.029085926	-5.727787142
> -L"dykes_equamp"
-37.427572492	-6.191896054
-37.410539517	-6.189199331
-37.390314098	-6.183845544
-37.37127841	-6.182060948
-37.358191375	-6.184440409
-37.337965956	-6.181466083
-37.324284055	-6.181466083
-37.298109984	-6.176112296
-37.283238353	-6.174922565
-37.258848878	-6.177896891
-37.240408055	-6.178491757
-37.221372367	-6.174922565
-37.206500736	-6.170758508
-37.191480388	-6.17168055
-37.18220049	-6.169539035
-37.168280643	-6.17132363
-37.160785341	-6.174892822
-37.142225545	-6.17132363
-37.12759186	-6.170966711
-37.114742771	-6.16739752
-37.097253732	-6.165969843
-37.079407775	-6.165256005
> -L"dykes_equamp"
-37.079407775	-6.165256005
-37.060844013	-6.165137032
-37.048946708	-6.16156784
-37.034075077	-6.159783245
-37.01860858	-6.162162706
-36.999572892	-6.16037811
-36.988270452	-6.158593514
-36.97101936	-6.159783245
-36.960311786	-6.158593514
-36.943060693	-6.156808918
-36.929973658	-6.158593514
-36.909748239	-6.16037811
-36.894281743	-6.159188379
> -L"dykes_equamp"
-36.936755122	-6.144316748
-36.916767649	-6.143364964
-36.909153374	-6.143364964
-36.888690009	-6.142413179
-36.869178429	-6.140033718
-36.855853447	-6.138606042
-36.829679376	-6.145744425
-36.80874012	-6.146696209
-36.787800863	-6.142889071
> -L"dykes_equamp"
-36.787800863	-6.142889071
-36.775506981	-6.146815182
-36.766940921	-6.144911613
-36.758850754	-6.147766966
-36.74504988	-6.15062232
-36.720779378	-6.146815182
-36.709833857	-6.145863398
-36.694605307	-6.148718751
-36.676045511	-6.147766966
-36.667479451	-6.144435721
-36.66081696	-6.140152691
-36.655106254	-6.139676799
-36.644636626	-6.141104476
-36.630835752	-6.141104476
-36.617034878	-6.139200907
-36.604661681	-6.13777323
-36.588481346	-6.138249122
-36.576108149	-6.137297338
-36.552408717	-6.141104476
-36.527424376	-6.140390637
-36.508150742	-6.141104476
-36.497324195	-6.142175233
-36.481857698	-6.142175233
-36.468175797	-6.145149559
-36.456278492	-6.145149559
-36.443191457	-6.144554694
-36.424155769	-6.149313616
-36.407499542	-6.14633929
-36.395007371	-6.148123886
-36.38013574	-6.148123886
> -L"dykes_equamp"
-37.464679195	-6.339514344
-37.453257782	-6.34094202
-37.436482582	-6.342964563
-37.425180142	-6.344154294
-37.40911878	-6.34593889
-37.389488227	-6.347128619
-37.376996057	-6.345344023
-37.360934695	-6.345344023
-37.339519546	-6.344154294
-37.322268453	-6.344154294
-37.3026379	-6.342369697
-37.290740595	-6.343559428
-37.277058694	-6.344749158
-37.261592198	-6.341774832
-37.247315432	-6.341774832
-37.233633531	-6.344154294
-37.2187619	-6.345344023
-37.199131346	-6.34831835
-37.180690524	-6.346533754
-37.15987024	-6.344749158
-37.144998608	-6.34593889
-37.134885899	-6.349508081
-37.117634807	-6.351887541
-37.093840197	-6.353672137
-37.080753161	-6.353672137
> -L"dykes_equamp"
-37.080991108	-6.35670595
-37.070640453	-6.357300816
-37.05219963	-6.361464872
-37.037327999	-6.359680276
-37.01233055	-6.355692234
-36.995912269	-6.363544456
-36.980207826	-6.354978396
-36.959506515	-6.356406073
-36.935949851	-6.361402941
-36.9238146	-6.360689102
-36.913820864	-6.362116779
-36.89883026	-6.361402941
-36.876804756	-6.366737723
-36.866601672	-6.359085412
-36.84935058	-6.362059737
> -L"dykes_equamp"
-37.589341836	-5.900489204
-37.579823992	-5.9022738
-37.569711282	-5.898704608
-37.562572899	-5.898109743
-37.548296133	-5.901678935
-37.537588559	-5.9022738
-37.531639906	-5.907627587
-37.516768275	-5.906437857
-37.506655566	-5.906437857
-37.491783934	-5.9022738
-37.478696899	-5.900489204
-37.465014998	-5.896920013
-37.453117693	-5.893350821
-37.439435792	-5.892755956
-37.431702544	-5.892755956
> -L"dykes_equamp"
-36.460929244	-6.063887332
-36.431185981	-6.066266793
-36.388355683	-6.069835984
-36.360991881	-6.068646254
> -L"dykes_equamp"
-36.530986123	-6.363371623
-36.506001783	-6.363371623
-36.479827712	-6.365751084
-36.447704988	-6.368130546
-36.432238491	-6.374079198
> -L"dykes_equamp"
-36.559539655	-6.427617071
-36.532175854	-6.431186262
-36.50005313	-6.434755454
-36.477448251	-6.435945184
-36.458412562	-6.439514376
> -L"dykes_equamp"
-36.442946066	-6.418099227
-36.414392534	-6.422858149
-36.391787654	-6.424047879
-36.356095739	-6.421668418
-36.327542207	-6.420478688
> -L"dykes_equamp"
-36.515995519	-6.192764269
-36.481493334	-6.202282113
-36.452939802	-6.202282113
-36.414868426	-6.208230766
-36.385125163	-6.211799957
-36.35300244	-6.221317801
-36.333966752	-6.226076723
-36.310172142	-6.232025376
-36.273290496	-6.233215106
> -L"dykes_equamp"
-36.669470754	-6.269948036
-36.650435066	-6.271137766
-36.630804512	-6.274112093
> -L"dykes_equamp"
-36.486847121	-6.333003752
-36.43568871	-6.333003752
> -L"dykes_equamp"
-36.339915404	-6.244606776
-36.309577277	-6.251150294
-36.274480227	-6.25412462
> -L"dykes_equamp"
-36.34051027	-6.264237329
-36.312551603	-6.267211656
-36.301844028	-6.266021925
-36.283403205	-6.264237329
> -L"dykes_equamp"
-36.385720029	-6.383805245
-36.355381901	-6.382020649
-36.339915404	-6.379641188
-36.314931064	-6.376666862
> -L"dykes_equamp"
-36.45948332	-6.273160308
-36.442827093	-6.274350039
-36.42438627	-6.277324365
-36.408324908	-6.277324365
-36.389884086	-6.274350039
-36.361925419	-6.274350039
> -L"dykes_equamp"
-36.45948332	-6.07744964
-36.441042497	-6.07744964
-36.421411944	-6.079234236
-36.41308383	-6.083398293
-36.397617334	-6.08875208
-36.380961107	-6.088157215
-36.372038128	-6.088157215
-36.360140823	-6.091131541
-36.347648653	-6.091726406
> -L"dykes_equamp"
-36.424981135	-6.448050692
-36.398212199	-6.446860962
-36.372038128	-6.442696905
> -L"dykes_equamp"
-36.559420682	-6.52597804
