> -L"Dykes"
> -L"Dykes"
-38.7834667881	-5.63366654277
-38.6439491593	-5.59072652159
-38.6138581099	-5.58697401965
> -L"Dykes"
-41.9968504148	-8.6109880062
-41.9921970067	-8.6033984489
-41.9881253032	-8.59641843889
-41.9818103373	-8.58818487668
-41.9773161022	-8.58268271519
-41.9738264729	-8.57896822393
-41.9710343721	-8.57597406471
-41.9658962366	-8.5695806677
-41.9580847643	-8.56041648359
-41.9506218391	-8.5515839652
-41.9470058598	-8.54724992958
-41.9456427756	-8.54462162434
-41.9446832228	-8.54226766737
-41.9435026356	-8.54020076251
-41.9425334784	-8.53739481177
-41.9413721079	-8.53415957904
-41.93933249	-8.53118710594
-41.9365506752	-8.5286443732
-41.9330136505	-8.52532588613
-41.9268373381	-8.52081788503
-41.9221160155	-8.51791912823
-41.9175174728	-8.5150479152
-41.9097542156	-8.51079626135
-41.9001923045	-8.50502860319
-41.896221657	-8.50267922357
> -L"Dykes"
-39.4133216102	-9.84085330626
-39.4163986712	-9.84611872475
-39.4217361175	-9.85960610731
-39.4247903914	-9.86805301134
-39.4302269615	-9.88601796813
> -L"Dykes"
-41.4301811698	-9.14304674807
-41.4321961871	-9.15064419979
-41.4315452245	-9.15167608303
-41.4312721332	-9.15298566727
-41.4309990418	-9.15429524151
-41.4308199408	-9.15560419577
-41.4307354702	-9.15700592036
-41.4307443599	-9.15831360466
-41.4310346007	-9.1595259987
-41.4313248515	-9.16073838275
-41.4313331112	-9.16195266674
-41.4308713892	-9.16317010064
-41.4305982979	-9.16447968488
-41.4306065576	-9.16569396888
-41.4307088177	-9.16690762289
-41.4309997084	-9.16821340724
-41.4313846095	-9.16951857162
-41.4315821399	-9.17091839627
-41.4317790403	-9.17222482061
-41.4319759507	-9.17353124495
-41.4321728612	-9.17483766929
-41.4323697716	-9.17614408362
-41.4324746016	-9.17773135886
-41.4325768816	-9.17894500288
-41.4327731621	-9.18015801691
-41.4329707225	-9.18155784155
-41.4332560532	-9.18328005819
-41.4333703131	-9.185011333
-41.4333805128	-9.18650582791
-41.4332008018	-9.18772137186
-41.4330217208	-9.18903032612
-41.4327499195	-9.19052672098
-41.4325702085	-9.19174226493
-41.4323892176	-9.19277099827
-41.4322095066	-9.19398654222
-41.4317560744	-9.1964182701
-41.431483633	-9.19782126465
-41.431304552	-9.19913021892
-41.4310410404	-9.20184089776
-41.4312367208	-9.20296050148
-41.431619762	-9.20398542494
-41.4318167224	-9.20529184928
-41.4317316518	-9.20660016356
-41.4317399615	-9.20781443756
-41.4326960145	-9.21014324543
-41.4328936149	-9.21154306008
-41.4329012946	-9.21266393376
-41.4326275733	-9.21388010769
-41.4322585717	-9.21491012099
-41.4322180354	-9.21581762337
-41.4320878204	-9.21743334925
-41.4320034098	-9.21883507383
-41.4319931512	-9.22025800969
-41.4319273089	-9.22145107241
-41.4319445883	-9.2239730307
-41.431952908	-9.2251873147
-41.4318665774	-9.22630881836
-41.4318749072	-9.22752309235
-41.4319772373	-9.22873673636
-41.4321742377	-9.2300431407
-41.4322765777	-9.23125678472
-41.4322849075	-9.23247105871
-41.4322925872	-9.2335919324
-41.4323974972	-9.23517918763
-41.4325945076	-9.23648560198
-41.432791508	-9.23779200631
-41.4330825388	-9.23909778068
-41.4332782692	-9.2402173744
-41.4336620304	-9.24133568816
-41.4340457915	-9.24245400193
-41.4344308526	-9.24375913631
-41.434629163	-9.24525235126
-41.4346375127	-9.24646662525
-41.4340804704	-9.24749790852
-41.4336180884	-9.2486219721
-41.4336264382	-9.24983624609
-41.4335420475	-9.25123796068
-41.4333623665	-9.25245351463
-41.4328999746	-9.25357757822
-41.4323435622	-9.25470227178
-41.4313131983	-9.2552697234
-41.4300941437	-9.25574504468
-41.429727692	-9.2571486792
-41.4296420113	-9.25836359317
-41.4291789694	-9.25939424645
-41.4284338564	-9.26042680967
-41.4274987727	-9.26118043192
-41.4264696588	-9.26193469416
-41.4255802706	-9.26240727743
-41.4244973647	-9.26273167356
-41.4230953137	-9.26305822661
-41.4219661918	-9.26336633781
> -L"Dykes"
-39.6030272671	-9.35533206777
-39.5992979837	-9.35352160278
-39.5960252582	-9.35147292779
-39.5939542846	-9.34988606064
-39.5906815109	-9.34777106799
-39.5882769941	-9.34618471907
-39.5857390637	-9.3445985724
-39.5830006736	-9.34281394235
-39.5800627084	-9.34136093645
-39.5769916603	-9.34010691365
-39.5743874309	-9.33871958033
-39.5714505039	-9.33786287646
-39.5682461886	-9.33667525281
-39.5644419833	-9.33581987385
-39.560437329	-9.33476597548
-39.5573005263	-9.33404199461
-39.5540973333	-9.33351688246
-39.5498258679	-9.33246327669
-39.5465888229	-9.33160682442
-39.5420844067	-9.33088480434
-39.5387809813	-9.33022717446
-39.5337756254	-9.32910821653
-39.5306053575	-9.32825151465
-39.5274018458	-9.32746109778
-39.5243314796	-9.32647166043
-39.5215752945	-9.3252947158
> -L"Dykes"
-39.6985166234	-9.41558913961
-39.6964918435	-9.41284808834
-39.6948871711	-9.41126095032
-39.6932822493	-9.40954127906
-39.6908760801	-9.40755811771
-39.6875357498	-9.40557675817
-39.6843291713	-9.40372763052
-39.6811231438	-9.40214352139
-39.6780508557	-9.40069165003
-39.6736440577	-9.39924229716
-39.6700375011	-9.39752631824
-39.6665649372	-9.39607509933
-39.6631601348	-9.39515382169
-39.5987959137	-9.35255194267
> -L"Dykes"
-39.8717614722	-9.52408624319
-39.8660699253	-9.51748442774
> -L"Dykes"
-39.9429140463	-9.59840952475
-39.9083707327	-9.56207176719
-39.8946515511	-9.55063911527
-39.8717614722	-9.52408624319
> -L"Dykes"
