longitude,latitude,age_ma,age_error_ma,rock_type,dating_method,reference
-37.2671666666667,-6.35816666666667,144.0,2.0,Diab.tr./alk.,,Mizusaki et al. (2002)
-46.5,-6.0,123.0,3.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-48.0,-6.5,147.0,2.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-47.9833333333334,-6.48333333333332,150.0,2.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-46.4833333333333,-6.01666666666667,138.0,2.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-48.0,-7.0,172.0,4.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-47.9883333333333,-6.48833333333335,214.0,3.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-46.5166666666667,-5.98333333333332,213.0,3.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-46.0885,-8.03833333333334,198.0,0.0,Diabase,,Mizusaki et al. (2002)
-46.1,-7.421,209.0,0.0,Diabase,,Mizusaki et al. (2002)
-40.4711666666667,-2.41983333333334,43.0,12.0,Breccia tholeiit.,,Mizusaki et al. (2002)
-40.4711666666667,-2.41983333333334,44.0,3.0,Breccia tholeiit.,,Mizusaki et al. (2002)
-39.0373333333333,-3.026,83.0,6.0,Diab. tr./alk.?,,Mizusaki et al. (2002)
-39.0833333333333,-6.81716666666668,211.0,0.0,Diab. tr./alc,,Mizusaki et al. (2002)
-39.0,-6.75,169.0,0.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-39.0,-6.75,173.0,0.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-39.0,-6.75,173.0,0.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-39.0,-6.75,176.0,0.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-39.0,-6.75,179.0,0.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-39.0,-6.75,180.0,0.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-36.2386666666667,-4.92316666666667,44.0,4.0,Diab.tr./alk.,,Mizusaki et al. (2002)
-36.2386666666667,-4.92316666666667,47.0,1.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-36.85,-5.57166666666666,83.0,1.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-36.8666666666667,-5.60166666666665,89.0,1.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-37.1015,-5.33866666666665,100.0,10.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-36.9533333333333,-5.75833333333333,123.0,0.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-37.3166666666667,-5.86666666666667,124.0,29.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-35.5856666666667,-4.83933333333334,130.0,13.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-37.085,-5.705,133.0,2.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.3333333333333,-5.83333333333334,133.0,3.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-37.0566666666667,-5.69,139.0,1.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.6666666666667,-5.9175,150.0,4.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-39.0,-6.66666666666666,186.0,12.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-39.1666666666667,-6.66666666666666,214.0,7.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-36.4673333333333,-4.92266666666666,42.0,3.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-36.2386666666667,-4.92316666666667,43.0,7.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-36.135,-5.635,130.0,2.0,Diabase,,Mizusaki et al. (2002)
-36.0878333333333,-5.55,133.0,2.0,Diabase,,Mizusaki et al. (2002)
-36.5071666666667,-5.13333333333333,42.0,3.0,Basalt,,Mizusaki et al. (2002)
-36.5071666666667,-5.13333333333333,123.0,4.0,Diabase,,Mizusaki et al. (2002)
-36.17,-5.67166666666667,126.0,4.0,Diabase,,Mizusaki et al. (2002)
-36.17,-5.67166666666667,129.0,2.0,Diabase,,Mizusaki et al. (2002)
-36.17,-5.67166666666667,131.0,4.0,Diabase,,Mizusaki et al. (2002)
-36.3333333333333,-5.66666666666666,140.0,10.0,Diabase,,Mizusaki et al. (2002)
-34.989,-8.45083333333332,102.0,1.0,Dacite,,Mizusaki et al. (2002)
-38.5063333333333,-17.3356666666667,59.0,2.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-39.3905,-18.7703333333333,48.0,4.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-39.8038333333333,-19.509,80.0,13.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-29.35,-20.4716666666667,61.0,2.0,Ankaratrite,,Mizusaki et al. (2002)
-29.35,-20.4716666666667,61.0,2.0,Ankaratrite,,Mizusaki et al. (2002)
-29.35,-20.4716666666667,85.0,3.0,Ankaratrite,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,41.0,1.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,42.0,4.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,43.0,1.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,43.0,4.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,44.0,3.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,44.0,4.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,46.0,7.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,47.0,4.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,48.0,2.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,50.0,2.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,52.0,2.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,61.0,0.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,64.0,7.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,63.0,6.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-40.1416666666667,-22.321,81.0,3.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-41.921,-23.7673333333333,92.0,29.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-40.8356666666667,-22.735,93.0,3.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-41.5428333333333,-23.4673333333333,103.0,4.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-41.6881666666667,-23.653,107.0,3.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-40.822,-22.7201666666667,110.0,6.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-40.806,-22.7556666666667,122.0,4.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-40.8243333333333,-22.7428333333333,122.0,3.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-40.8421666666667,-22.7098333333333,124.0,7.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-40.8348333333333,-22.7085,126.0,5.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-40.8348333333333,-22.7085,134.0,4.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-40.7888333333333,-21.0875,202.0,6.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-42.8871666666667,-23.7561666666667,44.0,1.0,Diabase,,Mizusaki et al. (2002)
-42.8871666666667,-23.7561666666667,87.0,12.0,Diabase,,Mizusaki et al. (2002)
-43.7173333333333,-24.1085,90.0,6.0,Diabase,,Mizusaki et al. (2002)
-43.3868333333333,-23.9725,101.0,7.0,Diabase,,Mizusaki et al. (2002)
-47.3371666666667,-27.3545,114.0,3.0,Andesite,,Mizusaki et al. (2002)
-45.2423333333333,-24.5688333333333,121.0,11.0,Diabase,,Mizusaki et al. (2002)
-52.101,-21.755,106.0,0.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-51.9015,-27.5043333333333,112.0,0.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-51.372,-24.5196666666667,115.0,0.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-52.1753333333333,-26.4501666666667,119.0,4.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-52.4065,-25.4003333333333,120.0,0.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-51.0545,-26.2598333333333,121.0,0.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-50.6026666666667,-22.4175,122.0,0.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-52.101,-21.755,123.0,0.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-49.1346666666667,-27.467,123.0,3.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-55.3431666666667,-28.2931666666667,124.0,0.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-48.3858333333333,-23.3695,125.0,0.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-51.4195,-23.4913333333333,127.0,0.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-50.8866666666667,-24.1751666666667,127.0,1.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-52.4065,-25.4003333333333,128.0,0.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-55.3431666666667,-28.2931666666667,129.0,0.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-51.4195,-23.4913333333333,130.0,0.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-51.4195,-23.4913333333333,132.0,0.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-51.2918333333333,-26.7353333333333,133.0,0.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-52.101,-21.755,135.0,0.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-51.6586666666667,-28.7008333333333,143.0,0.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-55.7598333333333,-29.8011666666667,145.0,0.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-49.108,-25.1705,148.0,2.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-51.7855,-17.8038333333333,173.0,0.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-51.3071666666667,-26.7415,213.0,0.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-50.4708333333333,-31.0333333333333,84.0,10.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-50.4708333333333,-31.0333333333333,100.0,6.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-50.4708333333333,-31.0333333333333,124.0,0.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-49.5383333333333,-0.936666666666668,55.0,2.0,Breccia,,Mizusaki et al. (2002)
-36.7081666666667,-3.173,14.0,1.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-36.4026666666667,-5.773,28.0,1.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-36.4053333333333,-5.90533333333335,30.0,1.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-36.4053333333333,-5.90533333333335,32.0,1.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-38.886,-3.28783333333333,32.0,1.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.353,-3.27533333333333,34.0,1.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-37.4673333333333,-5.307,19.0,6.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-36.1595,-4.94016666666668,32.0,1.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-36.2386666666667,-4.92316666666667,37.0,7.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-36.2386666666667,-4.92316666666667,37.0,0.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-36.2931666666666,-4.909,28.0,7.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-36.1561666666666,-4.94016666666668,33.0,1.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-36.25,-4.91666666666666,29.0,1.0,Basalt,,Mizusaki et al. (2002)
-36.25,-4.91666666666666,36.0,1.0,Basalt,,Mizusaki et al. (2002)
-36.3256666666667,-5.5405,13.0,1.0,Basalt,,Mizusaki et al. (2002)
-36.3256666666667,-5.5405,13.0,1.0,Basalt,,Mizusaki et al. (2002)
-36.3256666666667,-5.5405,14.0,2.0,Basalt,,Mizusaki et al. (2002)
-36.123,-5.62483333333333,29.0,2.0,Basalt,,Mizusaki et al. (2002)
-36.123,-5.62483333333333,30.0,3.0,Basalt,,Mizusaki et al. (2002)
-32.4216666666667,-3.8575,2.0,0.0,Ankaratrite,,Mizusaki et al. (2002)
-32.4216666666667,-3.8575,2.0,0.0,Ankaratrite,,Mizusaki et al. (2002)
-32.4216666666667,-3.8575,2.0,0.0,Limburgite,,Mizusaki et al. (2002)
-32.4216666666667,-3.8575,3.0,1.0,Ankaratrite,,Mizusaki et al. (2002)
-32.4216666666667,-3.8575,3.0,0.0,Ankaratrite,,Mizusaki et al. (2002)
-32.4216666666667,-3.8575,4.0,0.0,Breccia alk.,,Mizusaki et al. (2002)
-32.4216666666667,-3.8575,7.0,0.0,Ankaratrite,,Mizusaki et al. (2002)
-32.4216666666667,-3.8575,0.0,0.0,Phonolite,,Mizusaki et al. (2002)
-32.4216666666667,-3.8575,0.0,0.0,Basanite,,Mizusaki et al. (2002)
-32.4216666666667,-3.8575,0.0,0.0,Phonolite,,Mizusaki et al. (2002)
-32.4216666666667,-3.8575,0.0,0.0,Phonolite,,Mizusaki et al. (2002)
-32.4216666666667,-3.8575,0.0,0.0,Phonolite,,Mizusaki et al. (2002)
-32.4216666666667,-3.8575,10.0,0.0,Essexite,,Mizusaki et al. (2002)
-32.4216666666667,-3.8575,11.0,0.0,Trachyte,,Mizusaki et al. (2002)
-32.4216666666667,-3.8575,11.0,0.0,Phonolite,,Mizusaki et al. (2002)
-32.4216666666667,-3.8575,12.0,0.0,Basalt,,Mizusaki et al. (2002)
-32.4216666666667,-3.8575,22.0,1.0,Basanite,,Mizusaki et al. (2002)
-36.3355,-5.34,18.0,1.0,Basalt,,Mizusaki et al. (2002)
-36.1716666666667,-5.66833333333332,20.0,1.0,Basalt,,Mizusaki et al. (2002)
-36.3371666666667,-5.50383333333334,24.0,6.0,Basalt,,Mizusaki et al. (2002)
-36.3333333333333,-6.83666666666667,19.0,1.0,Basalt,,Mizusaki et al. (2002)
-36.1666666666667,-7.175,30.0,6.0,Basalt,,Mizusaki et al. (2002)
-35.8383333333334,-7.33666666666667,39.0,7.0,Basalt,,Mizusaki et al. (2002)
